2018-11-20 23:32:20.4716||DEBUG|VC.API.Program|init main 
2018-11-20 23:32:22.8198||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Neha\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2018-11-20 23:32:23.7228|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:51544/  0 
2018-11-20 23:32:23.7228|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:51544/index.html   
2018-11-20 23:32:23.7848|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 61.6159ms 200  
2018-11-20 23:32:23.9698|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 248.5556ms 200 text/html 
2018-11-20 23:32:24.3408|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:51544/swagger/v1/swagger.json   
2018-11-20 23:32:24.6769|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 335.7377ms 200 application/json;charset=utf-8 
2018-11-20 23:37:22.2093|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:51544/api/WordsBoard/GetAllWords application/json-patch+json 18 
2018-11-20 23:37:22.3153|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "GetAllWords", controller = "WordsBoard"}. Executing action VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) 
2018-11-20 23:37:22.3743|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) with arguments (System.Char[,]) - Validation state: Valid 
2018-11-20 23:37:22.3933||INFO|VC.BLL.Board.WordsBoard|Loading dictionary data - Begin 
2018-11-20 23:37:22.5223||INFO|VC.BLL.Board.WordsBoard|Building WordsBoardGraph - Begin 
2018-11-20 23:37:22.5223||INFO|VC.BLL.Board.WordsBoard|Building WordsBoardGraph - Completed 
2018-11-20 23:37:38.0672||INFO|VC.BLL.Board.WordsBoard|Loading dictionary data - Completed 
2018-11-20 23:37:38.0672||INFO|VC.BLL.Board.WordsBoard|Searching Words in graph - Begin 
2018-11-20 23:37:38.0922||INFO|VC.BLL.Board.WordsBoard|Searching Words in graph - Completed 
2018-11-20 23:37:38.0922|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method VC.API.Controllers.WordsBoardController.GetAllWords (VC.API), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 15721.557ms. 
2018-11-20 23:37:38.1142|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.Collections.Generic.Dictionary`2[[System.String, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e],[System.String, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2018-11-20 23:37:38.1252|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) in 15800.878ms 
2018-11-20 23:37:38.1252|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 15924.366ms 200 application/json; charset=utf-8 
2018-11-20 23:37:53.0671|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:51544/api/WordsBoard/GetAllWords application/json-patch+json 22 
2018-11-20 23:37:53.0671|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "GetAllWords", controller = "WordsBoard"}. Executing action VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) 
2018-11-20 23:37:53.0871|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) with arguments (System.Char[,]) - Validation state: Valid 
2018-11-20 23:37:53.0871||INFO|VC.BLL.Board.WordsBoard|Loading dictionary data - Begin 
2018-11-20 23:37:53.1051||INFO|VC.BLL.Board.WordsBoard|Building WordsBoardGraph - Begin 
2018-11-20 23:37:53.1051||INFO|VC.BLL.Board.WordsBoard|Building WordsBoardGraph - Completed 
2018-11-20 23:38:10.1670||INFO|VC.BLL.Board.WordsBoard|Loading dictionary data - Completed 
2018-11-20 23:38:10.1670||INFO|VC.BLL.Board.WordsBoard|Searching Words in graph - Begin 
2018-11-20 23:38:10.1900||INFO|VC.BLL.Board.WordsBoard|Searching Words in graph - Completed 
2018-11-20 23:38:10.1930|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method VC.API.Controllers.WordsBoardController.GetAllWords (VC.API), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 17098.255ms. 
2018-11-20 23:38:10.1930|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.Collections.Generic.Dictionary`2[[System.String, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e],[System.String, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2018-11-20 23:38:10.1930|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action VC.API.Controllers.WordsBoardController.GetAllWords (VC.API) in 17116.7759ms 
2018-11-20 23:38:10.1930|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 17131.8412ms 200 application/json; charset=utf-8 
